user,assistant
I got my paycheck and there was more money than I was expecting.,I got my paycheck and there was more money than I was expecting
Before I met my girlfriend I felt lonely very often_comma_ I am glad that is better now,Before I met my girlfriend I felt lonely very often_comma_ I am glad that is better now
I am nervous about going to law school soon,I will be starting Law School in January.
I got all As in my first college semester_comma_ and it made me feel really good about myself,I got all As in my first college semester_comma_ and it made me feel really good about myself
I'm feeling a bit nervous about my next decisions in life.,I've been feeling a bit nervous about my next decisions in life. How do I know what the right thing to do is?
Sometimes it feels like I have more people around me that want to drive me like a horse rather than love me as a son.,Sometimes I feel that I have more people around me that want to drive me like a horse rather than love me as a son. But_comma_ I guess that's not true. It's just my feelings.
I just got a new apartment and I don't move in for a week. I am getting very antsy about it! I'm currently at my mother in law's and I liked to give her her house back.,Oh man I can't wait to give my mother in law her house back. I just got a new place but have to wait a week to move in.
I miss my old dog. I was thinking about getting another one but it won't be the same.,I miss my old dog_comma_ I was thinking about getting another one but I'm not sure.
I recently quit a really bad job with no job offers. It required a leap of faith,I recently quit a really bad job_comma_ but I didn't have another job lined up
I was given a loving home with parents that helped me out and a career path I could have been successful in_comma_ and I blew it.,In the past_comma_ I was given a loving home with parents that helped me and a career path I could have succeeded on_comma_ and I blew it.
When I was moving I put my stuff in storage. My unit got robbed of all my antiques and precious things.,My storage unit got robbed while I was moving to a new home. They took all my family antiques and precious items.
I am an adult_comma_ but unfortunately still succumb to petty envy. My family buys my adult sister things all the time but can't really help me out when I need it.,I know it's very petty of me but it is starting to bug me. My family has been very generous towards my adult sister as of late but have not really paid much attention to me.
I remember a time where I was asked to help out with a kids camp as a volunteer and it was about 2 months ahead of time_comma_ so I completely forgot about it and ended up not going.,I remember a time where I was asked to help out with a kids camp as a volunteer and it was about 2 months ahead of time_comma_ so I completely forgot about it and ended up not going
My wife is on a business trip right now. I miss her quite a bit but I know she works these kind of jobs to help provide for our household and I greatly appreciate it. I love her so much.,My wife's out of town right now on business. She has to go on these trips a few times a year. I miss her a lot.
I was able to find some Blue Bell ice cream on sale the other day.,I was able to find some Blue Bell ice cream on sale the other day.
Asked a relative to care for our pet while we were gone and the dog ended up missing.,Asked a relative to care for our pet while we were gone and the dog ended up missing.
I'm going on my first trip to Disney World in a few weeks. I can't wait!,In a few weeks I'm going on my first ever trip to Disney World! It's taken me 30 years to get there and I can't wait.
My cats ripped up my brand new couch! I know they're just animals who might know any better but it was a gift from family!,Oh boy I am livid! I just got this new couch from my family and my cats have already shredded an entire side of it.
I let my boyfriend make all the decisions. He is very calculated and more experienced than me about certain matters.,I let my boyfriend make all or most of our decisions.
I drove by a treehouse off the side of the road this morning. It made me stop and remember my treehouse from childhood. It kind of brought me down a little bit_comma_,I got really down this morning. I saw a treehouse on the side of the road and it made me remember mine.
My water heater is busted. I got the line on a great plumber whos reputable and they can do it tomorrow. Looking forward to it being done by the end of the weekend.,It's been a rough day! My water heater is busted. Fortunately I got a plumber coming in that can fix it over the weekend.
With all the fires and thing happening in the world_comma_  I don't know what will happen in the near future if Global Warming is not stopped.,I don't know what will happen in the future if Global Warming is not stopped.
I worked all day on slow cooking a pot of pit beef and it tastes awful! I don't even know what I did wrong I followed all the directions.,I really screwed up today! I was working on a big pot of pit beef_comma_ followed the old family recipe_comma_ and it tastes like garbage!
Kids grow-up so fast_comma_  It seem like yesterday that mine were babies_comma_ and now the oldest is beginning high school.,Kids grow up so fast_comma_ It seem like yesterday when mine were babies.
My last year of high school I worked really hard and got A's all year long.,My last year of high school I worked really hard and got A's all year long
I was not sure if I needed to accept this new job offer. I just did not know anyone there,I was not sure I wanted to accept a new job offer. I did not know anyone at this job
I ate some bad egg salad earlier this week. I made it myself so I thought it would be fine_comma_ but it made me very sick.,Oooo I was not feeling that good earlier in the week. I made some egg salad and I guess I didn't cook it right because I got very ill.
I remember when my grandma was sick and all of grandchildren would take turns helping her and keeping her company.  I though it was a sweet experience.,I remember when my grandma was sick and we the grandchildren took turns keeping her company and helping her with whatever she needed.
I went on a road trip to a new city.  I trusted my husband to drive us there safely and not get lost.,Hi_comma_ I went on a road trip this summer.
It was a very busy week for me_comma_ but now that the weekend is here I'm looking forward to relaxing and watching some good movies.,It was a very busy week for me_comma_ but now that the weekend is here I'm looking forward to relaxing at home.
Yesterday I went to the supermarket with some old clothes I wear around the house not expecting to meet anyone I know_comma_ but I met my boss and his wife_comma_ I guess that was to be expected after all.,Yesterday I went to the supermarket with some old clothes I wear around the house not expecting to meet anyone I know_comma_ but I met my boss and his wife.
I procrastinated on turning in a paper for a college class_comma_ and she ended up giving me a D for the course overall.,I procrastinated on turning in a paper for a college class_comma_ and she ended up giving me a D for the course overall
I was disgusted the way the cavs owner treated Lebron during his two stints with the team,I was disgusted the way the cavs owner treated Lebron during his two stints with the team
Last week I ate my husband's leftovers.  It was chicken fettuccini and so good.  I pretended I forgot it was his.,Last week I ate my husband's leftovers_comma_ even though I knew he was looking forward to it.
I had a job interview yesterday and it went great_comma_ so I'm expecting for them to call soon.  I look forward to working for that company_comma_ since it seem really nice.,I had a job interview yesterday and it went great_comma_ so I'm expecting for them to call soon.
I always feel nervous at the start of a new school year.  It's hard to know how the students will be_comma_ and how they will work together.,In two weeks I'll be back teaching with a brand new group of kids.
I just dyed my hair for the first time by myself. I spent a lot of time watching videos on how to do it to make sure i was ready.,I just dyed my hair for the first time by myself. I had to watch a lot of videos to make sure I knew how to do it.
My cat tore apart my favorite book. She managed to do it while I went to get a package,My cat tore apart my favorite book this morning
I recently watched one of my favorite movies from when I was a kid. It made me very happy to relive it.,I recently rewatched on of my favorite childhood movies.
I went skydiving. I had to trust in the tandem partner I had to not kill me.,I went skydiving a few weeks ago. It was certainly an exercise in trust.
My friend and I got into an awful fight_comma_ she won't forgive me.,My best friend for years and I got into a fight_comma_ I said some things I regret out of anger_comma_ she won't forgive me. This is awful.
I was hoping to get a new pet this year!,I was hoping to get a new pet this year!
I'be been thinking a lot about my childhood lately_comma_ sort or reminiscing.,I miss my family members as they all pretty much gone now...
I am grateful to be alive.,I almost died last year.
I got a lot of hours at work for next month. I am trying to use the extra money to move out.,I got a lot of hours at work for next month. I hope I can use it to move to a new apartment
The first time I went on a motorcycle_comma_ I was scared. But I knew my husband wouldn't do anything to hurt me. I trusted him with my life.,The first time I went on a motorcycle_comma_ I was scared. But I knew my husband wouldn't do anything to hurt me. I trusted him with my life.
I start a new job in a few weeks and I'm nervous_comma_ I hope I'll like it.,I start a new job in a few weeks and I'm nervous_comma_ I hope I'll like it.
When I was a kid_comma_ I watched Psycho at a sleepover on Halloween.  I avoided the shower for days after that.,When I was a kid_comma_ I watched Psycho at a sleepover on Halloween.
I had to borrow money from my parents to pay the mortgage. I am having trouble making ends meet.,I had to borrow money from my parents to pay the mortgage. I am having trouble making ends meet.
A friend of mine recently met George Clooney at a resturant and not even took a picture with him but have a conversation with him for like half an hour.,A friend of mine recently met George Clooney at a restaurant and posted a picture with him on Instagram!
We are wanting to buy a newer and bigger vehicle. We aren't sure if we can afford it though. So_comma_ we haven't bought one yet.,We are really wanting wanting to buy a newer and bigger vehicle_comma_ but we're not sure if we can afford it.
I ate a whole pint of ice cream by myself in one sitting.,I ate a whole gallon of ice cream by myself in one sitting and now I'm not feeling too happy.
I had a boyfriend who cheated on me. He promised not to do it again_comma_ but then he did.,I can't believe I was so stupid to believe this...
I felt trusting of my uncle when he volunteered to fix my car.,My uncle volunteered to fix my car. I was going to take it to the dealership.
I love looking at old photos. Makes me miss the good old days.,I love looking at old photos. Makes me miss the good old days.
I've got to give a big speech at a wedding tomorrow and I'm getting shaky just thinking about it. I wish I could just get it over with.,I'm in a wedding party tomorrow_comma_ and I've been called upon to give a big toast during the reception.
I read some letters from a friend.  They are extra special since he passed away a few years ago.,I was thinking about a friend of mine who passed away a few years ago.  Then I found some letters that he had written me.
I got caught cheating on a math assignment,I can't believe I thought I'd get away with this...
I remember feeling faithful when I went to a bachelorette weekend with my girl friends. Most of them did things that their boyfriends would not be happy with by I had my husband in mind the whole time and didn't commit any infidelity.,So_comma_ I went to a bachelorette weekend with my girl friends. All of them were doing things their husbands would NOT be happy with_comma_ but I stayed far away from anything like that.
I was working on a project with some coworkers. I decided to steal someone else's work and pass it off as my own. This made me feel very bad later on.,I was at work assigned to a project on a team.
My spouse had a brief affair last year. It ended and we are still together.,My spouse had a brief affair last year. It ended and we are still together.
I have always been faithful to my grilfriend of 2.5 years,I have always been faithful to my girlfriend of 2.5 years
I miss being a kid. Adulting is terrible,I miss being a kid.
I was sitting on my patio just earlier and I saw a bunch of movement inside of my house. I freaked out immediately and ran inside_comma_ but it was my wife home early! I was certainly shaken.,Oh I was so shaking in my boots. I was sitting outside on my patio and saw a shadowy figure inside my house!
My son got in big trouble at his school.  I felt so embarrassed when it happened.,My son got in big trouble at school.  He was very mean to his best friend_comma_ and I had to call his mom and explain what had happened.
My new neighbors have a dog that looks just like my childhood dog.  When I first saw it I felt like I was time traveling for a second..,New neighbors moved in this week_comma_ and they have a dog that looks almost exactly like my childhood dog.
I have a box of items that I can't part with. It's all papers and silly things_comma_ but they are precious memories.,Oh I wish I could clear my closet out but I just can't part with these things.
My father sent me a photo of a letter I wrote for his birthday when I was a child.,My father sent me a photo of a letter I wrote for his birthday when I was a kid.
I have to start getting ready for a family reunion I am contributing to next weekend. I volunteered for food so now's the time to get ready!,I signed up to do a lot of food for a family reunion next weekend. I have to start getting supplies now for sure!
I am a nurse and I take care of people in the last stage of their lives.,I am a nurse and I take care of people in the last stage of their lives.
I went to make a patty melt today and my bread was rotted. It was really nasty.,I went to make a patty melt today and my bread was moldy.
I was invited on a road trip with my kids. I was worried about not having my husband there to help me.,So_comma_ my mom invited me and my kids on a road trip.
Last night I was watching a really great movie with a bowl of pop corn with my hubby. I was so comfortable.,I was totally comfortable last night watching a movie with my boyfriend and eating popcorn.
I had a chance to cheat on my girlfriend but I didn't!,Man I had a really cute girl hit on me
I'm so excited for the weekend! This summer has been so much. I got a new car_comma_ new job_comma_ and a new place to live. Things are going well.,This has been such a great summer so far. I just got a new job in June and I bought a new set of wheels this week!
I was talking to my boss and accidentally used a word I didn't really know the real meaning of. I looked like a fool.,I was talking to my boss and used a word that I didn't know the real meaning of. made a total fool of myself. lol
We've moved many times over the past ten years for my husband's job.  It's been hard but worth it!,We've moved a lot of the past decade for my husband's job.
I get nostalgic thinking about all the games I used to lpay with my friends on our street,I get nostalgic thinking about all the games I used to lpay with my friends on our street
All of my friends have these great jobs and travel so often_comma_ it isn't fair.,All of my friends have these great jobs and they get to travel to awesome places so often. It's not fair_comma_ having to watch them jetset and have a blast while I'm stuck working all the time.
I put snow tires up for sale on craigslist. It's my first time in many years selling on craigslist after having some bad experiences before so I hope it goes well.,I just put some snow tires up for sale on the internet. I stopped using Craigslist awhile ago because of some bad experiences so I hope it goes okay.
I've been in a long term committed marriage for over 34 years.,I've been married to the same person for over 34 years
My heart sank when I heard my favorite teacher from elementary school passed away.,My heart sank when I heard about my favorite teacher from elementary school passing away.
I need to past a test next week.  I am well prepared_comma_ so I believe I won't have trouble passing it.,I need to past a test next week but since I am well prepared I believe I will have no trouble doing it.
I had never let my son stay the night at anybody's house before. For my anniversary with my husband we really just wanted to have a night to ourselves and thought we should let our son stay with his grandparents. I was nervous but I had faith that they would take care of him well.,My husband and I decided we wanted a night to ourselves_comma_ but we've never let our son stay the night anywhere. I was pretty nervous.
I'm hoping I can reach diamond next season in overwatch. I've been practicing a ridiculous amount,I've spent at least an hour a day on overwatch for the past 3 months. Altogether I have roughly 90 hours this season
I recently renovated my home. It's so relaxing to have all of the work done and just enjoy the new space we worked so hard on!,I recently renovated my home and it's so nice to be done with all the work!
We are going camping next weekend and I have all the equipment to do it_comma_ so I believe we are going to be quite comfortable and safe.,We are going camping next weekend and I have all the equipment to do it right_comma_
I'm really lucky to have the family that I do. We're all so very close knit and the togetherness really helps me get through some tough times. I'm so fortunate to be around them.,I just moved back near family_comma_ and I'm feeling overwhelmed with how close knit everything is again.
I have to go into get my tooth pulled soon. I don't do well at the dentist.,I have to go get my tooth pulled soon. I hate the dentist
I have to go rescue a dog from a violent household. This place has a bad history and the cops are always there. This might not end well_comma_ but I'll work for it to be fine for the dog's sake.,I have a distant relative that's been abusing their dog_comma_ and I have to rescue it from their property.
"My brother won a 75"" TV from work yesterday. I bet that will look awesome with Xbox games.","My brother told me that he won a 75"" TV from work. He says it looks good with his new Xbox!"
was surprised when my parents gave me a car as my graduation present from college,i was surprised when my parents gave me a car as my graduation present from college
I told something to someone that I had promised to keep a secret.,I told something to someone that I had promised to keep a secret.
I am old enough to remember the times before internet and social media when people you spoke over the phone or in person and you could have much more meaningful contact with people,I am old enough to remember the times before internet and social media when people you spoke over the phone or in person.
My wife's grandmother passed away recently. She was the family matriarch and I actually felt very close to her as of late. She will be greatly missed.,My wife's grandmother passed on a couple weeks ago. It's still eating at me to think about it.
As I get older_comma_ the more I remember my childhood,My daily life consists of getting up_comma_ going to work or going to college. I miss being young and spending my day playing videogames and playing outside
Even when it has been a rough year_comma_ I am now feeling that things are beginning to go my way and that the future will be much better.,Even when it has been a rough year_comma_ I am now feeling that things are beginning to go my way and I can expect good thing for the future.
They've been doing road work outside my house all week! It just goes on for 12 hours straight everyday_comma_ mostly at night!,I haven't slept well this week at all. The county has been drilling outside my house for 12 hours a day.
I really though I was going to be accepted in med school_comma_ but I wasn't_comma_ and now I don't know what I am going to do with my life.,I really though I was going to be accepted in med school_comma_ but I wasn't.
I'm waiting to hear back from the nursing program I applied to for my degree,I'm waiting to hear back from the nursing program I applied to for my degree
For a long time I lived out in the middle of nowhere far away from many people. My friends and family were very far away and it felt very overwhelming sometimes.,I'm much better off now but I just got out of a time of my life where I was isolated out in a rural area away from a lot of people.
School is about to start and we have everything we need.,School is about to start. We are ready.
I have always been faithful to my girlfriend of 2.5 years,I have always been faithful to my girlfriend of 2.5 years
My boss is coming for dinner tonight with his wife.  Many things could go wrong I hope they don't or I probably won't be getting a raise.,My boss is coming for dinner tonight with his wife.
My new puppy just learned how to swim! He acted scared for awhile but once he was finally in he took to it like it was nothing.,We just got a new puppy_comma_ a real water dog. We have been trying to get it to swim and today he did for the first time!
Last night I was running in the road in a very lonely place and a car began to follow me slowly.  I took a picture of the car and pretend to be sending it and the car just went away quickly.,Last night I was running in the road in a very lonely place and a car began to follow me slowly.
My daughter snuk out the window last night. Cops brought her home this morning. she was still drunk,My daughter snuk out the window last night.
I want to loose wait and I'm trying to eat less_comma_ but just a few minutes ago a had some sugar cravings and ate a whole package of cookies. Now I feel awful.,I want to lose wait and I'm trying to eat less_comma_ but just a few minutes ago a had some sugar cravings and ate a whole package of cookies.
About a year ago_comma_ I was about to run my first 50 mile race.  I had broken my toe a few weeks prior and was very nervous that it wasn't going to hold up through the race.,Last year I was about to run my first 50 mile race.  I had broken my toes a few weeks before and wasn't sure I was going to make it.
When I was a kid I threw a rock at a boy. It hit him on the forehead and made a big gash. I felt so bad about doing it.,When I was a kid I threw a rock at a boy. It hit him on the forehead and made a big gash. I felt so bad about doing it.
I was looking through an old family album and I realized_comma_ I really had a good childhood. I miss my family.,I was looking through my old family album and realized I had a really good childhood.
I was at the store and some old guy bought my groceries for me. It helped restore my faith in humanity,I was at the store and some old guy bought my groceries for me. It helped restore my faith in humanity
I studied endlessly for my biology final_comma_ and while I was taking the test_comma_ I was sure about my responses,I studied endlessly for my biology final_comma_ and while I was taking the test_comma_ I felt good about my responses
We're finally settled in one place after moving around a lot.  It's so nice to be able to put down roots.,My family is finally settled down in one place after moving around a lot.
I love walking my dogs on these late summer mornings. It's still cool_comma_ the sun is shining_comma_ and I still have two more weeks off.,I love walking my dogs on these late summer mornings. It's still cool_comma_ the sun is shining_comma_ and I still have two more weeks off.
All my neighbors constantly want to get together to gossip and talk bad about the people who live across the street. I'm sick of it!,Lately_comma_ my neighbors want to sit around and gossip about the family across the street. They love to talk bad about them even though it's clear this family is struggling. I'm sick of it
When my dad got sick randomly_comma_ I went into care mode. I made sure he was going to get all the help he needed,I really went into care mode when my dad got sick. I just made sure he was going to be okay
The new school semester starts in a few days and I have all of my supplies and work ready to go,The new school semester starts in a few days and I have all of my supplies ready!
I saw a dog on the side of the road that had been hit by a car_comma_ it was so sad,I saw a dog on the side of the road that had been hit by a car_comma_ it was so sad
I believe that most people are good people_comma_ deep down.,I believe that most people are good people_comma_ deep down.
A bad storm with a tornado almost went through my town_comma_ I was so scared,A bad storm with a tornado almost went through my town_comma_ I was so scared
I'm trying to save up money to buy a home by next year. If all goes well It can happen.,I am saving up my money to buy a home next year sometime. I think it can happen.
I return to work in September to a new role. I'm excited but anxious.,I return to work in September to a new role. I'm excited but anxious.
I woke up this morning to find that my well trained dog pooped on the carpet sometime in the night. He must have really had to go!,I woke up this morning to find that my dog pooped on my brand new rug!
I was at the fair_comma_ and I spilled my drink all over myself.,I was at the fair_comma_ and I spilled my drink all over myself
I am a very committed spouse. I have been married 15 years.,I am a very committed spouse. I have been married 15 years.
I was feeling really badly when my child heard me swear and curse out his father because I was mad he was late picking him up.  I didn't want him to hear me treat his father that way but I was really angry.,I felt so badly today because my son overheard me yelling and cursing out his dad because he was late picking up our son.  I didn't mean for him to overhear that but I was really angry.
We're waiting to see what size my husband's bonus will be.  It's the first year he'll get one.  We're hoping it's enough for a new roof.,We're waiting to see what size my husband's bonus will be.  This is the first year he's eligible for anything bigger than a Starbucks gift card lol
When I was younger_comma_ my best friend and I worked at the same company.  She got a promotion that we both wanted.  I'd been working there longer so it really stung.,When I was younger_comma_ my best friend and I worked together.  She ended up getting the promotion that we both wanted.
My neighbours just bought a new car and put in a pool. I feel like I just can't get ahead- I can barely pay the bills.,My neighbours just bought a new car and put in a pool. I feel like I just can't get ahead- I can barely pay the bills.
I was embarrased when my shoe peeled off on the way,I had to walk bare footed to a point
Someone at my work missed part of their shift due to a personal issue_comma_ but requested I withhold any information that would reveal they missed such time.,Someone at my work missed part of their shift due to a personal issue_comma_ but requested I withhold any information that would reveal they missed such time
I love to rely on my friends for advice,They are too good to me
I had the chance to look through my girlfriend's phone while I was in the shower_comma_ I decided not to because I felt I could respect her privacy.,I had the chance to look through my girlfriend's phone while I was in the shower_comma_ I decided not to because I felt I could respect her privacy
I can't believe my electric is bill is so high this onth.,MY electriv bill is through the roof this month.
I was impressed when my friend was our valedictorian in high school,I was impressed when my friend was our valedictorian in high school
We have to make an expensive car repair.  This is coming just after finding out our roof is finally kaput.,We have to make an expensive repair to our car.
I wanted to go out but needed someone to watch my kids. No one had ever babysat before. I let my sister watch them because I knew she would do a good job.,I wanted to go out but I couldn't take my small kids. I hadn't ever had a babysitter but I knew my sister would take good care of them.
All my friends signed up for horse back riding lessons but I had never been before.  I wasn't sure I wanted to go with them but they convinced me to sign up and go even though I was very scared!,All my friends signed up for horse back riding lessons but I'd never been before and was scared.  They convinced me to sign up and take them!
You can believe in your friend,If we can believe and trust in each other_comma_the world will be a better place
I had a c-section planned to deliver my baby. I was excited about seeing her but nervous about the surgery.,I had a c-section scheduled to have my baby. I was very excited about seeing her but very nervous about the surgery.
I was broken when i heard a bad news from my office,Some of my collegues wete sacked by the management
I felt ashamed when I quit my job due to depression and anxiety problems_comma_ a lot of stigma_comma_ especiall for men_comma_ when dealing with employment (or lack of) and mental health.,I had an okay job_comma_ not a great job but it paid well_comma_ working as a commercial truck and trailer repair technician. After a few weeks on the job I fell into a deep depression after getting injured at work.
i farted in a barnes and noble once and someone smelled it.,i farted in a barnes and noble once and someone smelled it.
I was going through some pictures of when my children were young. I can't believe how little they were! It made me think about the past.,I was looking through pictures of when my kids were young. I can't believe how tiny they were. It made me remember the times when they were tiny.
I am worried about going back to school_comma_ I don't know if I should do it. It can be hard.,I am worried about going back to school_comma_ I don't know if I should do it. It can be hard.
I spent 2 hours helping my daughter on her homework. found out today she never turned it is and won't receive credit for turning it in late. What a waste of time.,I spent 2 hours helping my daughter with her homework. I found out today she never turned it in.
I dropped my chipotle after being hungry for the whole morning,I had just went on my break after a long morning at work_comma_ so I got chipotle. As soon as I stepped out of my car with my food_comma_ I dropped my bowl on the floor
I work with several other men that are fairly attractive_comma_ but I love my husband so I want to remain true to him. I do not want to betray his love.,It is good to remain faithful if you are married. Faith and trust are important in a healthy relationship.
I had to wear a scratched up pair of old glasses because I broke my other pair.,I broke my glasses so I had to wear an old pair that had visible scratches on the lenses from being stored in a drawer.
